id,person_name,category,statement,date,verdict,reality_explanation,source,accuracy_score
1,"Arvind Kejriwal","Politician","Delhi's government schools now have a 99.5% passing rate in board exams, higher than private schools.","2026-03-12","Misleading","CBSE board results show 95.8% passing rate for govt schools, slightly lower than private schools at 97.2%.","PIB Fact Check / CBSE Board Results 2025",60
2,"Rahul Gandhi","Politician","Unemployment in India has reached an all-time high of 45 years under the current government.","2026-04-05","Misleading","PLFS data shows unemployment rate at 3.2% in 2023-24, though youth unemployment remains high in urban areas.","Ministry of Statistics and Programme Implementation (MOSPI)",45
3,"Narendra Modi","Politician","India is now the second-largest manufacturer of mobile phones in the entire world.","2026-01-10","True","Official global trade reports confirm India is the second-largest mobile manufacturer by volume, after China.","Ministry of Electronics and IT / Counterpoint Research",95
4,"Sudhir Chaudhary","Anchor","The new Rs 2000 currency notes will contain a GPS microchip to track black money from space.","2026-05-18","False","RBI officially clarified that no nano-GPS chips or tracking technology exist in any Indian banknotes.","Reserve Bank of India Press Release",10
5,"Ravish Kumar","Journalist","Over 80% of major infrastructure projects launched in the last three years are running behind schedule.","2026-02-28","Misleading","Infrastructure monitoring reports state 42% of projects face delays, not the claimed 80%.","Ministry of Statistics & Programme Implementation (MOSPI) Report",55
6,"Smriti Irani","Politician","Under the Poshan Abhiyaan, child malnutrition rates in India have dropped by 50% in the last five years.","2026-03-22","False","National Family Health Survey (NFHS-5) reports stunting decreased marginally from 38.4% to 35.5%.","National Family Health Survey (NFHS-5)",20
7,"Palki Sharma Upadhyay","Anchor","India's defense exports have crossed Rs 21,000 crore for the first time in history in FY 2023-24.","2026-04-12","True","Defence Ministry data confirms India's defense exports reached a record Rs 21,083 crore in FY 2023-24.","Ministry of Defence Press Release",98
8,"Amit Shah","Politician","Foreign Direct Investment (FDI) inflows in India have doubled every year since 2014.","2026-05-02","False","FDI inflows rose significantly but fluctuated yearly; they did not double year-on-year.","Department for Promotion of Industry and Internal Trade (DPIIT)",15
9,"Barkha Dutt","Journalist","More than 70% of rural primary health centers in northern states do not have a full-time resident doctor.","2026-03-15","Misleading","Rural Health Statistics show shortage of doctors is around 35-40% on average, though some remote sub-centers lack staff.","Rural Health Statistics 2023, MoHFW",50
10,"Anjana Om Kashyap","Anchor","The United Nations has declared India's national anthem as the best national anthem in the world.","2026-06-01","False","The UN/UNESCO has repeatedly clarified they do not declare or rank 'best national anthems'.","UNESCO Official Statement",5
11,"Dhruv Rathee","Public Figure","The carbon footprint of India's top 1% population is 10 times higher than that of the poorest 50%.","2026-04-20","True","Oxfam's Climate Inequality Report confirms India's high-income earners produce disproportionately higher emissions.","Oxfam India Inequality Report",90
12,"Nirmala Sitharaman","Politician","India's GDP growth rate has remained above 7% for three consecutive fiscal years post-pandemic.","2026-05-31","True","National Statistical Office data confirms growth was 9.1% (FY22), 7.2% (FY23), and 8.2% (FY24).","National Statistical Office (NSO) / MoSPI",96
13,"Rajdeep Sardesai","Journalist","In the 2024 general elections, voter turnout among women surpassed male turnout across all Indian states.","2026-01-25","Misleading","Women's turnout was higher in several states/UTs, but male turnout remained higher overall at the national level.","Election Commission of India (ECI) Report",65
14,"Shekhar Gupta","Journalist","India currently has the third-largest startup ecosystem in the world with over 100 unicorns.","2026-03-05","True","Industry research and DPIIT data confirm India ranks 3rd globally, with more than 110 active unicorns.","DPIIT / Hurun Global Unicorn Index 2024",95
15,"Kangana Ranaut","Public Figure","India only attained true independence in 2014; the independence in 1947 was just a handout (bheek).","2026-02-15","False","India legally and constitutionally attained complete sovereign independence from British rule on August 15, 1947.","Indian Independence Act 1947",0
